Season,Team,Player_Name,Targets,Receptions,Drives,Targets_per_Drive,Rec_per_Drive,Total_Yards,Yards_per_Drive,Total_Raw_YAC,Yards_per_Rec,Yards_per_Target,YAC_per_Target,Total_Caught_YAC,Total_Dropped_YAC,Caught_YAC_per_Target,Dropped_YAC_per_Target,YAC_per_Rec,Caught_YAC_per_Rec,Dropped_YAC_per_Rec,YAC_per_Drive,Caught_YAC_per_Drive,Dropped_YAC_per_Drive,Rec_Percentage,Fumbles,TDs,TDs_per_Drive,Fumbles_per_Drive,AC_TDs,AC_TDs_per_Drive,AC_TD_Rate,TD_to_Fumbles,Total_EPA,EPA_per_Drives,Success_Rate,EPA_per_Rec,EPA_per_Target,EPA_Rec_Perc,TD_per_Targets,Fumbles_per_Rec,TD_per_Rec,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Target,WPA_per_Rec,WPA_Rec_Perc,Total_Clutch_EPA,Clutch_EPA_per_Drive,Total_Raw_AirYards,PACR,Total_Caught_AirYards,Raw_AirYards_per_Target,RACR,Total_Raw_airEPA,Total_Caught_airEPA,Raw_airEPA_per_Drive,Caught_airEPA_per_Drive,airEPA_per_Target,Caught_airEPA_per_Target,epa_RACR,Total_Raw_airWPA,Total_Caught_airWPA,Raw_airWPA_per_Drive,Caught_airWPA_per_Drive,airWPA_per_Target,Caught_airWPA_per_Target,yacEPA_Rec,yacEPA_Drop,Total_yacEPA,yacEPA_per_Target,yacEPA_per_Rec,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Rec,yacWPA_Drop,Total_yacWPA,yacWPA_per_Target,yacWPA_per_Rec,yacWPA_Rec_per_Drive,yacWPA_Drop_per_Drive,wpa_RACR,yac_Success_Rate,yac_Rec_Success_Rate,air_Success_Rate,air_Rec_Success_Rate,yac_Win_Success_Rate,yac_Rec_Win_Success_Rate,air_Win_Success_Rate,air_Rec_Win_Success_Rate
2009,TEN,A.Johnson,603,401,170,3.5470588235294116,2.3588235294117648,4361,25.652941176470588,1962,10.875311720698255,7.232172470978441,3.253731343283582,1962,0,3.253731343283582,0,4.892768079800499,4.892768079800499,0,11.541176470588235,11.541176470588235,0,0.6650082918739635,6,35,0.20588235294117646,0.03529411764705882,9,0.052941176470588235,0.2571428571428571,5.833333333333333,97.28444299583526,0.5722614293872662,0.48756218905472637,0.8527590821623849,0.1613340679864598,0.479756329104324,0.05804311774461028,0.014962593516209476,0.08728179551122195,2.6909701975313403,0.01582923645606671,0.49585406301824214,0.004462637143501393,0.021414875630147698,0.46932073448146855,7.0615864820031184,0.04153874401178305,4595,0.9490750816104462,2363,7.6202321724709785,0.9490750816104462,244.809497984145,81.01678329809532,1.4400558704949706,0.47656931351820775,0.4059859004712189,0.13435619120745493,0.3973883521550943,4.787308401854866,2.3532913943292035,0.028160637657969802,0.013842890554877668,0.007939151578532117,0.003902639128240802,260.939608649021,-408.4646636373307,-147.52505498830973,-0.2446518324847591,0.6507222160823467,1.534938874406006,-2.4027333155137103,6.234073733360023,-8.330411937683548,-2.096338204323526,-0.003476514435030723,0.015546318537057414,0.03667102196094131,-0.0490024231628444,0.5621050435122815,0.5207296849087893,0.48258706467661694,0.5124378109452736,0.2902155887230514,0.5174129353233831,0.472636815920398,0.5024875621890548,0.2885572139303483
2009,ARI,T.Houshmandzadeh,594,344,174,3.413793103448276,1.9770114942528736,4004,23.011494252873565,1752,11.63953488372093,6.7407407407407405,2.9494949494949494,1752,0,2.9494949494949494,0,5.093023255813954,5.093023255813954,0,10.068965517241379,10.068965517241379,0,0.5791245791245792,5,23,0.13218390804597702,0.028735632183908046,14,0.08045977011494253,0.6086956521739131,4.6,32.05416721967301,0.18421935183720123,0.4478114478114478,0.9315702508837984,0.053963244477563996,0.45922068176366426,0.03872053872053872,0.014534883720930232,0.06686046511627906,2.0065006760936903,0.01153161308099822,0.4444444444444444,0.0033779472661509937,0.02619619283485526,0.4938211461086987,8.280033159966619,0.047586397471072524,5398,0.741756206002223,2222,9.087542087542088,0.741756206002223,346.34391961568735,83.2580128643575,1.9904822966418814,0.47849432680665227,0.5830705717435815,0.14016500482215066,0.09255010815619685,11.501524981168169,3.3458062147122742,0.06610071828257569,0.019228771348921116,0.019362836668633282,0.005632670395138509,237.20215343966916,-551.4919058356835,-314.28975239601436,-0.5291073272660175,0.6895411437199684,1.3632307668946504,-3.1694937116993303,5.665684120477935,-15.229202579433714,-9.56351845895578,-0.01610019942585148,0.016470011978133532,0.0325614029912525,-0.08752415275536618,0.17445518567137844,0.45286195286195285,0.4208754208754209,0.5841750841750841,0.2777777777777778,0.43265993265993263,0.3956228956228956,0.5808080808080808,0.2760942760942761
2009,PHI,S.Smith,580,355,185,3.135135135135135,1.9189189189189189,3815,20.62162162162162,1887,10.746478873239436,6.577586206896552,3.253448275862069,1887,0,3.253448275862069,0,5.3154929577464785,5.3154929577464785,0,10.2,10.2,0,0.6120689655172413,4,31,0.16756756756756758,0.021621621621621623,15,0.08108108108108109,0.4838709677419355,7.75,15.46986131507262,0.08362087197336551,0.41724137931034483,0.8252203287097675,0.02667217468115969,0.42719206530963677,0.05344827586206897,0.011267605633802818,0.08732394366197183,0.6769238117512248,0.003659047631087702,0.4086206896551724,0.0011671100202607324,0.018167511166881957,0.42377128419601984,6.061583372412877,0.032765315526556094,3932,0.9702441505595117,1877,6.779310344827586,0.9702441505595117,201.5696350267113,42.64719905417075,1.08956559473898,0.23052540029281485,0.3475338534943298,0.0735296535416737,0.0767469828132725,4.76158114350761,0.6124406794166243,0.025738276451392487,0.00331049015900878,0.008209622661220018,0.0010559322058907314,250.3060176377967,-436.4057913494354,-186.09977371163868,-0.3208616788131701,0.7050873736275963,1.3530055007448472,-2.3589502235104614,5.837025784826471,-9.921683116582855,-4.084657331756385,-0.007042512640959285,0.016442326154440762,0.03155149072879174,-0.05363071954909651,0.14216366189080004,0.4879310344827586,0.44655172413793104,0.5,0.2620689655172414,0.4793103448275862,0.4224137931034483,0.5017241379310344,0.2603448275862069
2009,IND,B.Marshall,579,373,164,3.5304878048780486,2.274390243902439,3659,22.3109756097561,1440,9.809651474530831,6.319516407599309,2.4870466321243523,1440,0,2.4870466321243523,0,3.8605898123324396,3.8605898123324396,0,8.78048780487805,8.78048780487805,0,0.6442141623488774,4,21,0.12804878048780488,0.024390243902439025,7,0.042682926829268296,0.3333333333333333,5.25,55.46686221263512,0.3382125744672873,0.4991364421416235,0.7379479709510479,0.09579768948641644,0.4457292147368389,0.03626943005181347,0.010723860589812333,0.05630026809651475,0.9655270350049799,0.005887359969542561,0.4835924006908463,0.0016675769171070466,0.0175573918740946,0.396346525086803,2.0197116368787285,0.012315314859016636,4513,0.8107688898736982,2184,7.79447322970639,0.8107688898736982,293.0490391596755,94.59298282092031,1.7868843851199725,0.5767864806153677,0.5061296013120474,0.16337302732456013,0.18927501817336634,9.008919010385938,2.410728388152765,0.05493243299015816,0.014699563342394908,0.01555944561379264,0.004163606888001321,180.66161034382057,-413.5190513455478,-232.85744100172724,-0.40217174611697276,0.4843474808145324,1.1015951850232961,-2.521457630155779,4.1185201632942094,-11.210592415848605,-7.092072252554397,-0.01224882945173471,0.011041609016874556,0.02511292782496469,-0.06835727082834515,0.10717457154314203,0.5025906735751295,0.459412780656304,0.6113989637305699,0.35233160621761656,0.4473229706390328,0.40414507772020725,0.6027633851468048,0.3436960276338515
2009,SF,R.Wayne,573,351,182,3.1483516483516483,1.9285714285714286,3991,21.928571428571427,1987,11.37037037037037,6.965095986038395,3.467713787085515,1987,0,3.467713787085515,0,5.660968660968661,5.660968660968661,0,10.917582417582418,10.917582417582418,0,0.612565445026178,10,15,0.08241758241758242,0.054945054945054944,9,0.04945054945054945,0.6,1.5,6.9297949642084955,0.038075796506640086,0.44153577661431065,0.7458963943401472,0.01209388300908987,0.4065267007316032,0.02617801047120419,0.02849002849002849,0.042735042735042736,0.49220376685242384,0.0027044163013869443,0.43106457242582896,8.589943575085931e-4,0.01980715830938129,0.4051687703905517,4.178146077492021,0.02295684657962649,4645,0.8592034445640474,1961,8.106457242582897,0.8592034445640474,260.91941418832994,43.61829596847832,1.4336231548809337,0.239660966859771,0.4553567437841709,0.07612268057326059,0.02655913890411625,8.43353660876565,1.0687785968543524,0.046338113234976094,0.005872409872826112,0.014718213976903403,0.0018652331533234772,218.19133844491336,-467.24600969455565,-249.0546712496423,-0.4346503861250302,0.621627744857303,1.1988535079390843,-2.5672857675525034,5.883533969738481,-13.053311070915447,-7.169777101176966,-0.012512700002054043,0.016762205041989976,0.03232710972383781,-0.07172148940063432,0.05836267626334094,0.4851657940663176,0.45898778359511344,0.5654450261780105,0.2844677137870855,0.47643979057591623,0.44153577661431065,0.5567190226876091,0.2792321116928447
2009,DAL,S.Smith,572,344,169,3.3846153846153846,2.035502958579882,3908,23.124260355029588,1919,11.36046511627907,6.8321678321678325,3.354895104895105,1919,0,3.354895104895105,0,5.578488372093023,5.578488372093023,0,11.355029585798816,11.355029585798816,0,0.6013986013986014,6,22,0.1301775147928994,0.03550295857988166,11,0.0650887573964497,0.5,3.6666666666666665,80.36747249953075,0.47554717455343637,0.4632867132867133,0.8832729041303464,0.14050257429987892,0.48827609192444976,0.038461538461538464,0.01744186046511628,0.06395348837209303,3.0160900134959356,0.01784668647039015,0.4423076923076923,0.005272884638978908,0.026190887103153208,0.504080121190831,12.343324602763035,0.07303742368498838,4651,0.8402494087293055,1945,8.131118881118882,0.8402494087293055,239.9385944722789,65.45021721463856,1.41975499687739,0.387279391802595,0.41947306725922884,0.11442345666894853,0.3349501678806239,7.412936216044008,2.3138267655392677,0.04386352790558584,0.013691282636327028,0.012959678699377636,0.004045151688005713,238.39566180620062,-397.96678377894875,-159.57112197274816,-0.27897049295934995,0.6930106447854669,1.4106252177881693,-2.3548330401121227,6.695838397945436,-11.092684600493508,-4.396846202548073,-0.007686794060398728,0.019464646505655336,0.03962034554997299,-0.06563718698516868,0.40686846960427564,0.4807692307692308,0.4405594405594406,0.5367132867132867,0.27972027972027974,0.4597902097902098,0.40384615384615385,0.5227272727272727,0.2674825174825175
2009,NO,K.Winslow,570,329,169,3.3727810650887573,1.9467455621301775,4064,24.047337278106507,1911,12.35258358662614,7.129824561403509,3.3526315789473684,1911,0,3.3526315789473684,0,5.808510638297872,5.808510638297872,0,11.307692307692308,11.307692307692308,0,0.5771929824561404,6,21,0.1242603550295858,0.03550295857988166,12,0.07100591715976332,0.5714285714285714,3.5,-17.006162087316188,-0.10062817803145674,0.45614035087719296,0.8795402053066299,-0.029835372083010857,0.4226171474552333,0.03684210526315789,0.0182370820668693,0.06382978723404255,-0.5598211100865829,-0.0033125509472578868,0.43859649122807015,-9.821422983975138e-4,0.020999810496743647,0.39198357277000995,-2.6405726902038533,-0.015624690474579013,4879,0.8329575732732117,2029,8.559649122807018,0.8329575732732117,303.50385465617126,71.03703294040805,1.7958807967820785,0.420337473020166,0.5324629029055636,0.12462637357966325,-0.056032771335249976,8.041473545212883,2.3362000649803645,0.04758268369948451,0.013823669023552452,0.014107848324934882,0.0040985966052287095,218.3316946054732,-534.1500234383026,-315.81832883282937,-0.5540672435663673,0.66362217205311,1.291903518375581,-3.1606510262621454,4.562192155367788,-13.106020995236035,-8.543828839868246,-0.014989173403277625,0.01386684545704495,0.026995219854247268,-0.07755042009015406,-0.06961673217464556,0.4807017543859649,0.43508771929824563,0.5666666666666667,0.2771929824561403,0.4421052631578947,0.39824561403508774,0.5614035087719298,0.2807017543859649
2009,SEA,L.Fitzgerald,565,374,171,3.304093567251462,2.1871345029239766,4106,24.01169590643275,2068,10.978609625668449,7.267256637168142,3.6601769911504425,2068,0,3.6601769911504425,0,5.529411764705882,5.529411764705882,0,12.09356725146199,12.09356725146199,0,0.6619469026548672,3,29,0.1695906432748538,0.017543859649122806,15,0.08771929824561403,0.5172413793103449,9.666666666666666,128.89257649742592,0.7537577572948885,0.5274336283185841,0.8810913284370809,0.228128453977745,0.5392741849340601,0.05132743362831858,0.008021390374331552,0.07754010695187166,3.1052546818929008,0.018159384104636845,0.5132743362831859,0.005496025985651152,0.020203725967168004,0.5542246672035154,8.916681674189913,0.0521443372759644,4278,0.959794296400187,2036,7.571681415929204,0.959794296400187,255.2066845020421,52.53759313130888,1.4924367514739303,0.3072373867328005,0.4516932469062692,0.09298689049789183,0.5050517260114892,5.271728033469651,1.2337286139463923,0.030828818909179243,0.007214787216060774,0.00933049209463655,0.0021835904671617563,276.9905637041594,-403.3046717087756,-126.31410800461616,-0.2235647929285242,0.7406164804924048,1.6198278579190608,-2.358506852098103,6.322464897774441,-8.488938249351191,-2.16647335157675,-0.003834466108985398,0.01690498635768567,0.03697347893435345,-0.04964291373889586,0.5890392414361976,0.5469026548672566,0.511504424778761,0.5557522123893806,0.3168141592920354,0.536283185840708,0.49734513274336284,0.5486725663716814,0.30973451327433627
2009,PIT,D.Mason,550,321,158,3.481012658227848,2.0316455696202533,3766,23.835443037974684,1417,11.73208722741433,6.847272727272728,2.576363636363636,1417,0,2.576363636363636,0,4.414330218068536,4.414330218068536,0,8.968354430379748,8.968354430379748,0,0.5836363636363636,5,24,0.1518987341772152,0.03164556962025317,8,0.05063291139240506,0.3333333333333333,4.8,59.66347406976625,0.3776169244921915,0.4509090909090909,0.9369786384301162,0.10847904376321137,0.46913384824057563,0.04363636363636364,0.01557632398753894,0.07476635514018691,4.448470268429036,0.028154875116639468,0.44363636363636366,0.008088127760780064,0.03766393730883269,0.5178971029341783,14.261428895807033,0.09026220820131033,4953,0.7603472642842721,2319,9.005454545454546,0.7603472642842721,315.60079795234884,113.93949420014997,1.9974734047617015,0.7211360392414555,0.5738196326406343,0.20716271672754538,0.18904728523143524,14.50118664804028,5.561947299705173,0.09177966232936886,0.035202198099399826,0.02636579390552778,0.010112631454009405,186.83064873591738,-441.8209726185,-254.9903238825826,-0.46361877069560475,0.5820269431025463,1.1824724603539074,-2.796335269737342,6.528176576430119,-15.857794492401537,-9.329617915971417,-0.016962941665402576,0.02033699868046766,0.04131757326854506,-0.10036578792659201,0.30676594794607454,0.43636363636363634,0.3890909090909091,0.610909090909091,0.32727272727272727,0.43636363636363634,0.38,0.6036363636363636,0.32181818181818184
2009,HOU,D.Clark,547,344,162,3.376543209876543,2.123456790123457,3685,22.746913580246915,1627,10.712209302325581,6.736745886654479,2.974405850091408,1627,0,2.974405850091408,0,4.729651162790698,4.729651162790698,0,10.04320987654321,10.04320987654321,0,0.6288848263254113,6,22,0.13580246913580246,0.037037037037037035,12,0.07407407407407407,0.5454545454545454,3.6666666666666665,23.653093304991494,0.14600674879624378,0.4625228519195612,0.7580967129635237,0.04324148684641955,0.40066232693265813,0.04021937842778794,0.01744186046511628,0.06395348837209303,1.0993900808768606,0.006786358523931239,0.4515539305301645,0.002009853895570129,0.019538647674964153,0.4227956299443967,3.7346162225643886,0.023053186559039436,4198,0.8777989518818485,2047,7.674588665447898,0.8777989518818485,237.47824142260626,52.91495601891467,1.465915070509915,0.32663553098095477,0.43414669364279024,0.09673666548247654,0.09960109677121723,5.395269346863393,0.6081241388621268,0.033304131770761684,0.003753852709025474,0.009863380890061047,0.0011117443123622062,207.87031324053748,-421.6954613581522,-213.82514811761476,-0.3909052067963707,0.6042741663969113,1.283150081731713,-2.603058403445384,5.266671646396108,-10.409049927312074,-5.142378280915966,-0.009401057186318037,0.015310091995337522,0.03251031880491424,-0.06425339461303749,0.20376926714808127,0.4954296160877514,0.45886654478976235,0.5575868372943327,0.2961608775137112,0.4789762340036563,0.4424131627056673,0.5539305301645339,0.29250457038391225
