play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2016010900,HOU,KC,KC,away,HOU,HOU,35,2016-01-09,900,1800,3600,Half1,0,1,1,1,NA,0,15:00,HOU 35,0,0,"N.Novak kicks 71 yards from HOU 35 to KC -6. K.Davis for 106 yards, TOUCHDOWN.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,KC,3,3,0,6,NA,NA,NA,6,0,6,0.0015063265025897468,0.1797487862643072,0.006639108378448644,0.281137706070735,0.21370014348424918,0.0035923127788396836,0.3136756165208305,0,0,0.32352585361127617,6.676474146388724,-6.676474146388724,6.676474146388724,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.Davis,00-0030280,NA,NA,NA,NA,N.Novak,00-0023096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,106,NA,NA,NA,NA,0,NA,NA,0,0,0,0
54,2016010900,HOU,KC,KC,away,HOU,HOU,15,2016-01-09,889,1789,3589,Half1,0,1,1,1,NA,0,14:49,HOU 15,0,0,"C.Santos extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt.",extra_point,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,good,NA,3,3,0,NA,NA,3,3,0,7,6,0,6,7,0,7,0,0,0,0,0,0,0,0.9311149499715381,0,0.9311149499715381,0.0688850500284619,-6.745359196417186,6.745359196417186,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.7041203585335296,0.2958796414664704,0.2958796414664704,0.7041203585335296,0.028417209012376543,0.26746243245409385,0.7325375675459062,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C.Santos,00-0031203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
70,2016010900,HOU,KC,HOU,home,KC,KC,35,2016-01-09,889,1789,3589,Half1,0,2,0,1,NA,0,14:49,KC 35,0,4,"C.Santos kicks 65 yards from KC 35 to end zone, Touchback.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.001574490934233449,0.17967383532962164,0.0066352738139909325,0.280903448558802,0.21376070373201436,0.003590611264941777,0.31386163636639575,0,0,0.32687859476223613,0,-6.745359196417186,6.745359196417186,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.26746243245409385,0.7325375675459062,0.26746243245409385,0.7325375675459062,0,0.26746243245409385,0.7325375675459062,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C.Santos,00-0031203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
88,2016010900,HOU,KC,HOU,home,KC,HOU,80,2016-01-09,889,1789,3589,Half1,0,2,0,1,1,0,14:49,HOU 20,10,4,"(14:49) (Shotgun) A.Blue up the middle to HOU 24 for 4 yards (D.Johnson, A.Bailey).",run,4,1,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.001574490934233449,0.17967383532962164,0.0066352738139909325,0.280903448558802,0.21376070373201436,0.003590611264941777,0.31386163636639575,0,0,0.32687859476223613,-0.10376762390369443,-6.849126820320881,6.849126820320881,-0.10376762390369443,0.10376762390369443,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.26746243245409385,0.7325375675459062,0.26746243245409385,0.7325375675459062,-0.0017211745829460723,0.2657412578711478,0.7342587421288522,-0.0017211745829460723,0.0017211745829460723,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0031075,A.Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0023449,D.Johnson,KC,00-0028024,A.Bailey,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
109,2016010900,HOU,KC,HOU,home,KC,HOU,76,2016-01-09,855,1755,3555,Half1,0,2,0,1,2,0,14:15,HOU 24,6,4,(14:15) (Shotgun) B.Hoyer pass incomplete short right to N.Washington.,pass,0,1,0,1,0,0,0,short,right,10,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.0017380122424808968,0.18544582145367489,0.005402814267155272,0.2868104557942149,0.20662825639610838,0.003955998759900823,0.31001864108646493,0,0,0.2231109708585417,-0.9478137344853179,-7.7969405548061985,7.7969405548061985,-0.10376762390369443,0.10376762390369443,-0.9478137344853179,0.9478137344853179,1.7518989620398244,-2.6997126965251423,0,0,0,0,0,0,1.7518989620398244,-1.7518989620398244,-2.6997126965251423,2.6997126965251423,0.2657412578711478,0.7342587421288522,0.2657412578711478,0.7342587421288522,-0.027816580147537684,0.2379246777236101,0.7620753222763899,-0.0017211745829460723,0.0017211745829460723,-0.027816580147537684,0.027816580147537684,0.056474171524064254,-0.08429075167160194,0,0,0,0,0,0,0.056474171524064254,-0.056474171524064254,-0.08429075167160194,0.08429075167160194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026625,B.Hoyer,00-0023367,N.Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
131,2016010900,HOU,KC,HOU,home,KC,HOU,76,2016-01-09,852,1752,3552,Half1,0,2,0,1,3,0,14:12,HOU 24,6,4,(14:12) (Shotgun) B.Hoyer pass incomplete short middle to C.Shorts III.,pass,0,1,0,1,0,0,0,short,middle,14,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.001705711240527036,0.22211728423971458,0.006767623747103591,0.33973526468838483,0.16343448280987016,0.0041299383890282025,0.26210969488537167,0,0,-0.7247027636267762,-1.5629837366612445,-9.359924291467443,9.359924291467443,-0.10376762390369443,0.10376762390369443,-2.5107974711465624,2.5107974711465624,3.0429668877725744,-4.605950624433818,0,0,0,0,0,0,4.794865849812399,-4.794865849812399,-7.305663320958961,7.305663320958961,0.2379246777236101,0.7620753222763899,0.2379246777236101,0.7620753222763899,-0.04034806788355186,0.19757660984005823,0.8024233901599417,-0.0017211745829460723,0.0017211745829460723,-0.06816464803108954,0.06816464803108954,0.09579701273716679,-0.13614508062071864,0,0,0,0,0,0,0.15227118426123104,-0.15227118426123104,-0.22043583229232058,0.22043583229232058,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026625,B.Hoyer,00-0028052,C.Shorts III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
153,2016010900,HOU,KC,HOU,home,KC,HOU,76,2016-01-09,848,1748,3548,Half1,0,2,0,1,4,0,14:08,HOU 24,6,4,"(14:08) S.Lechler punts 53 yards to KC 23, Center-J.Weeks. F.Hammond to HOU 46 for 31 yards (D.Morris). PENALTY on KC-J.Fleming, Offensive Holding, 10 yards, enforced at KC 23.",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.0017327835575828264,0.28801607837714255,0.006938843126189809,0.42816206256207723,0.07858777959359595,0.004865329846868578,0.19169712293654315,0,0,-2.2876865002880207,2.640430926505678,-6.719493364961765,6.719493364961765,-0.10376762390369443,0.10376762390369443,-2.5107974711465624,2.5107974711465624,NA,NA,0,0,0,0,0,0,4.794865849812399,-4.794865849812399,-7.305663320958961,7.305663320958961,0.19757660984005823,0.8024233901599418,0.19757660984005823,0.8024233901599418,0.10515587131516654,0.3027324811552248,0.6972675188447752,-0.0017211745829460723,0.0017211745829460723,-0.06816464803108954,0.06816464803108954,NA,NA,0,0,0,0,0,0,0.15227118426123104,-0.15227118426123104,-0.22043583229232058,0.22043583229232058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0030154,F.Hammond,NA,NA,NA,NA,NA,NA,00-0019714,S.Lechler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOU,NA,00-0029888,NA,D.Morris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,0,KC,00-0029639,J.Fleming,10,0,NA,Offensive Holding,0,0,0,0
189,2016010900,HOU,KC,KC,away,HOU,KC,87,2016-01-09,835,1735,3535,Half1,0,3,0,1,1,0,13:55,KC 13,10,8,(13:55) (Shotgun) A.Smith pass short right to T.Kelce to KC 21 for 8 yards (B.Cushing).,pass,8,1,0,1,0,0,0,short,right,6,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,7,0,7,7,0,7,0.0021915005888657095,0.20306630500421027,0.011437775785745433,0.317152654345837,0.18661435607226548,0.0034412609702011393,0.27609614723287496,0,0,-0.35274442621765734,0.8835187957386921,-7.603012160700457,7.603012160700457,-0.10376762390369443,0.10376762390369443,-3.3943162668852542,3.3943162668852542,-0.18235309298933133,1.0658718887280234,-0.18235309298933133,1.0658718887280234,0.18235309298933133,-0.18235309298933133,-1.0658718887280234,1.0658718887280234,4.977218942801731,-4.977218942801731,-8.371535209686984,8.371535209686984,0.6972675188447752,0.3027324811552248,0.3027324811552248,0.6972675188447752,0.030828940559879614,0.27190354059534516,0.7280964594046548,-0.0017211745829460723,0.0017211745829460723,-0.09899358859096916,0.09899358859096916,-0.005977121516848816,0.03680606207672843,-0.005977121516848816,0.03680606207672843,0.005977121516848816,-0.005977121516848816,-0.03680606207672843,0.03680606207672843,0.15824830577807986,-0.15824830577807986,-0.257241894369049,0.257241894369049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0023436,A.Smith,00-0030506,T.Kelce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOU,NA,00-0026991,NA,B.Cushing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
213,2016010900,HOU,KC,KC,away,HOU,KC,79,2016-01-09,806,1706,3506,Half1,0,3,0,1,2,0,13:26,KC 21,2,11,(13:26) A.Smith pass short left to A.Wilson to KC 24 for 3 yards (K.Jackson).,pass,3,0,0,1,0,0,0,short,left,3,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,7,0,7,7,0,7,0.002280162122295209,0.18114015414046292,0.005080552425108957,0.27289162862730326,0.18907534825178599,0.0038707577205798374,0.3456613967124638,0,0,0.5307743695210347,0.22513272377886917,-7.828144884479326,7.828144884479326,-0.10376762390369443,0.10376762390369443,-3.6194489906641234,3.6194489906641234,0.22513272377886917,0,0.22513272377886917,0,-0.04277963078953784,0.04277963078953784,-1.0658718887280234,1.0658718887280234,4.7520862190228605,-4.7520862190228605,-8.371535209686984,8.371535209686984,0.7280964594046548,0.27190354059534516,0.27190354059534516,0.7280964594046548,0.008678383094611775,0.2632251575007334,0.7367748424992666,-0.0017211745829460723,0.0017211745829460723,-0.10767197168558093,0.10767197168558093,0.008678383094611775,0,0.008678383094611775,0,-0.002701261577762959,0.002701261577762959,-0.03680606207672843,0.03680606207672843,0.14956992268346808,-0.14956992268346808,-0.257241894369049,0.257241894369049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0023436,A.Smith,00-0030669,A.Wilson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOU,NA,00-0027872,NA,K.Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
237,2016010900,HOU,KC,KC,away,HOU,KC,76,2016-01-09,771,1671,3471,Half1,0,3,0,1,1,0,12:51,KC 24,10,31,(12:51) A.Smith pass short right to T.Kelce to KC 28 for 4 yards (J.Joseph).,pass,4,0,0,1,0,0,0,short,right,-2,6,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,7,0,7,7,0,7,0.002351430227654093,0.1651209821685095,0.0047804869755025325,0.25684962114576143,0.22984724143789004,0.0036230057699358155,0.3374272322747465,0,0,0.7559070932999039,-0.09858027656603374,-7.729564607913293,7.729564607913293,-0.10376762390369443,0.10376762390369443,-3.52086871409809,3.52086871409809,-0.9722484674305154,0.8736681908644817,-0.9722484674305154,0.8736681908644817,0.9294688366409776,-0.9294688366409776,-1.939540079592505,1.939540079592505,5.724334686453377,-5.724334686453377,-9.245203400551466,9.245203400551466,0.7367748424992666,0.2632251575007334,0.2632251575007334,0.7367748424992666,-0.0017774129574629205,0.2650025704581963,0.7349974295418037,-0.0017211745829460723,0.0017211745829460723,-0.10589455872811801,0.10589455872811801,-0.03159918232152292,0.029821769364060002,-0.03159918232152292,0.029821769364060002,0.028897920743759964,-0.028897920743759964,-0.06662783144078843,0.06662783144078843,0.181169105004991,-0.181169105004991,-0.287063663733109,0.287063663733109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0023436,A.Smith,00-0030506,T.Kelce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOU,NA,00-0024239,NA,J.Joseph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
